claNodo,fecha,hora,pml,pml_ene,pml_per,pml_cng
01ALR-85,2024-10-01,1,557.13000,528.92000,28.11000,0.10000
01AMM-230,2024-10-01,1,529.73000,528.92000,1.23000,-0.42000
01AMO-85,2024-10-01,1,563.57000,528.92000,34.60000,0.06000
01ANL-85,2024-10-01,1,556.34000,528.92000,27.27000,0.16000
01ANM-115,2024-10-01,1,548.14000,528.92000,19.37000,-0.14000
01ANS-85,2024-10-01,1,560.72000,528.92000,31.70000,0.11000
01ANU-115,2024-10-01,1,579.04000,528.92000,50.26000,-0.13000
01ANU-69,2024-10-01,1,579.04000,528.92000,50.26000,-0.13000
01ARA-85,2024-10-01,1,555.76000,528.92000,26.73000,0.11000
01ATE-230,2024-10-01,1,559.20000,528.92000,30.23000,0.06000
01ATE-85,2024-10-01,1,559.84000,528.92000,30.87000,0.06000
01ATG-69,2024-10-01,1,525.31000,528.92000,-3.08000,-0.52000
01ATI-230,2024-10-01,1,554.76000,528.92000,25.75000,0.09000
01ATK-230,2024-10-01,1,554.63000,528.92000,25.60000,0.12000
01ATM-115,2024-10-01,1,573.27000,528.92000,44.49000,-0.13000
01ATS-115,2024-10-01,1,525.74000,528.92000,-2.76000,-0.42000
01ATU-115,2024-10-01,1,558.01000,528.92000,29.14000,-0.05000
02JLD-115,2024-10-01,1,551.46000,528.92000,22.18000,0.37000
02JRN-115,2024-10-01,1,554.70000,528.92000,25.96000,-0.17000
02JTL-115,2024-10-01,1,604.77000,528.92000,75.68000,0.17000
02JUC-115,2024-10-01,1,595.23000,528.92000,66.13000,0.18000
02JUD-115,2024-10-01,1,592.13000,528.92000,63.03000,0.18000
02JUD-230,2024-10-01,1,591.40000,528.92000,62.31000,0.18000
02JUY-115,2024-10-01,1,602.54000,528.92000,73.44000,0.18000
02KIA-115,2024-10-01,1,557.60000,528.92000,28.45000,0.23000
02KIC-115,2024-10-01,1,557.87000,528.92000,28.73000,0.23000
02KIM-115,2024-10-01,1,569.10000,528.92000,39.98000,0.21000
05CAS-115,2024-10-01,1,155.54000,528.92000,-94.57000,-278.81000
05CAT-115,2024-10-01,1,223.57000,528.92000,-26.81000,-278.53000
05CCD-115,2024-10-01,1,155.40000,528.92000,-94.02000,-279.49000
05CCU-115,2024-10-01,1,156.64000,528.92000,-93.32000,-278.96000
05CDM-115,2024-10-01,1,480.30000,528.92000,-44.32000,-4.29000
05CEB-115,2024-10-01,1,362.48000,528.92000,-34.55000,-131.89000
05CEJ-115,2024-10-01,1,108.43000,528.92000,-150.77000,-269.72000
05CEM-115,2024-10-01,1,496.06000,528.92000,-34.40000,1.55000
05CFN-115,2024-10-01,1,491.10000,528.92000,-39.04000,1.22000
05CGD-115,2024-10-01,1,175.12000,528.92000,-76.13000,-277.67000
05CGR-115,2024-10-01,1,159.20000,528.92000,-113.03000,-256.68000
05CGR-115,2024-10-01,2,161.48000,557.47000,-104.34000,-291.66000
05CGD-115,2024-10-01,2,184.19000,557.47000,-69.11000,-304.17000
05CFN-115,2024-10-01,2,526.99000,557.47000,-29.73000,-0.75000
05CEM-115,2024-10-01,2,532.51000,557.47000,-24.71000,-0.26000
05CEJ-115,2024-10-01,2,108.69000,557.47000,-147.37000,-301.41000
