claNodo,fecha,hora,pml,pml_ene,pml_per,pml_cng
01ALR-85,2024-10-01,1,480.53000,461.13000,17.76000,1.64000
01AMM-230,2024-10-01,1,459.85000,461.13000,-0.17000,-1.11000
01AMO-85,2024-10-01,1,486.36000,461.13000,23.79000,1.43000
01ANL-85,2024-10-01,1,484.86000,461.13000,21.87000,1.86000
01ANM-115,2024-10-01,1,474.01000,461.13000,12.22000,0.66000
01ANS-85,2024-10-01,1,481.96000,461.13000,19.08000,1.76000
01ANU-115,2024-10-01,1,491.99000,461.13000,30.16000,0.70000
01ANU-69,2024-10-01,1,491.99000,461.13000,30.16000,0.70000
01ARA-85,2024-10-01,1,479.69000,461.13000,16.75000,1.81000
01ATE-230,2024-10-01,1,482.83000,461.13000,20.25000,1.45000
01ATE-85,2024-10-01,1,483.34000,461.13000,20.77000,1.43000
01ATG-69,2024-10-01,1,461.30000,461.13000,1.29000,-1.11000
01ATI-230,2024-10-01,1,479.08000,461.13000,16.39000,1.56000
01ATK-230,2024-10-01,1,478.87000,461.13000,15.93000,1.81000
01ATM-115,2024-10-01,1,488.93000,461.13000,27.10000,0.70000
01ATS-115,2024-10-01,1,458.71000,461.13000,-1.31000,-1.11000
01ATU-115,2024-10-01,1,480.10000,461.13000,18.05000,0.92000
02JLD-115,2024-10-01,1,477.55000,461.13000,13.15000,3.28000
02JRN-115,2024-10-01,1,481.81000,461.13000,19.99000,0.70000
02JTL-115,2024-10-01,1,513.92000,461.13000,50.56000,2.22000
02JUC-115,2024-10-01,1,504.51000,461.13000,41.14000,2.25000
02JUD-115,2024-10-01,1,502.02000,461.13000,38.65000,2.25000
02JUD-230,2024-10-01,1,501.82000,461.13000,38.44000,2.25000
02JUY-115,2024-10-01,1,510.42000,461.13000,47.02000,2.27000
02KIA-115,2024-10-01,1,479.66000,461.13000,16.07000,2.46000
02KIC-115,2024-10-01,1,479.85000,461.13000,16.26000,2.46000
02KIM-115,2024-10-01,1,490.07000,461.13000,26.58000,2.35000
05CAS-115,2024-10-01,1,185.18000,461.13000,-75.15000,-200.80000
05CAT-115,2024-10-01,1,254.46000,461.13000,-5.51000,-201.16000
05CCD-115,2024-10-01,1,184.76000,461.13000,-75.45000,-200.92000
05CCU-115,2024-10-01,1,186.07000,461.13000,-74.24000,-200.82000
05CDM-115,2024-10-01,1,410.85000,461.13000,-29.20000,-21.08000
05CEB-115,2024-10-01,1,247.58000,461.13000,-12.40000,-201.16000
05CEJ-115,2024-10-01,1,139.56000,461.13000,-122.64000,-198.93000
05CEM-115,2024-10-01,1,409.26000,461.13000,-23.19000,-28.68000
05CFN-115,2024-10-01,1,405.50000,461.13000,-26.96000,-28.68000
05CGD-115,2024-10-01,1,203.22000,461.13000,-56.75000,-201.16000
05CGR-115,2024-10-01,1,175.74000,461.13000,-89.14000,-196.25000
05CGR-115,2024-10-01,2,163.94000,454.41000,-86.31000,-204.16000
05CGD-115,2024-10-01,2,203.40000,454.41000,-54.26000,-196.75000
05CFN-115,2024-10-01,2,427.00000,454.41000,-25.90000,-1.51000
05CEM-115,2024-10-01,2,430.96000,454.41000,-22.04000,-1.41000
05CEJ-115,2024-10-01,2,132.36000,454.41000,-121.03000,-201.02000
05CEB-115,2024-10-01,2,246.20000,454.41000,-11.46000,-196.75000
05CDM-115,2024-10-01,2,426.48000,454.41000,-28.56000,0.64000
05CCU-115,2024-10-01,2,184.58000,454.41000,-71.21000,-198.62000
05CCD-115,2024-10-01,2,183.67000,454.41000,-72.26000,-198.49000
05CAT-115,2024-10-01,2,253.42000,454.41000,-4.26000,-196.73000
05CAS-115,2024-10-01,2,183.60000,454.41000,-72.14000,-198.66000
02KIM-115,2024-10-01,2,481.07000,454.41000,26.72000,-0.06000
02KIC-115,2024-10-01,2,470.50000,454.41000,16.15000,-0.06000
02KIA-115,2024-10-01,2,470.31000,454.41000,15.97000,-0.06000
02JUY-115,2024-10-01,2,502.90000,454.41000,48.55000,-0.05000
02JUD-230,2024-10-01,2,489.57000,454.41000,35.22000,-0.05000
02JUD-115,2024-10-01,2,489.54000,454.41000,35.19000,-0.05000
02JUC-115,2024-10-01,2,491.98000,454.41000,37.62000,-0.05000
02JTL-115,2024-10-01,2,503.70000,454.41000,49.34000,-0.05000
02JRN-115,2024-10-01,2,470.57000,454.41000,16.13000,0.03000
02JLD-115,2024-10-01,2,467.36000,454.41000,13.04000,-0.09000
01ATU-115,2024-10-01,2,472.56000,454.41000,18.16000,0.00000
01ATS-115,2024-10-01,2,447.92000,454.41000,-6.63000,0.14000
01ATM-115,2024-10-01,2,481.28000,454.41000,26.87000,0.01000
01ATK-230,2024-10-01,2,469.82000,454.41000,15.46000,-0.04000
01ATI-230,2024-10-01,2,470.48000,454.41000,16.10000,-0.03000
01ATG-69,2024-10-01,2,450.50000,454.41000,-4.05000,0.14000
01ATE-85,2024-10-01,2,474.85000,454.41000,20.47000,-0.02000
01ATE-230,2024-10-01,2,474.30000,454.41000,19.91000,-0.02000
01ARA-85,2024-10-01,2,470.56000,454.41000,16.19000,-0.04000
01ANU-69,2024-10-01,2,484.15000,454.41000,29.73000,0.01000
01ANU-115,2024-10-01,2,484.15000,454.41000,29.73000,0.01000
01ANS-85,2024-10-01,2,472.81000,454.41000,18.44000,-0.04000
01ANM-115,2024-10-01,2,467.37000,454.41000,12.95000,0.01000
01ANL-85,2024-10-01,2,475.49000,454.41000,21.13000,-0.04000
01AMO-85,2024-10-01,2,477.74000,454.41000,23.36000,-0.02000
01AMM-230,2024-10-01,2,449.05000,454.41000,-5.50000,0.14000
01ALR-85,2024-10-01,2,471.83000,454.41000,17.46000,-0.03000
01ALR-85,2024-10-01,3,469.36000,451.37000,17.93000,0.05000
01AMM-230,2024-10-01,3,444.16000,451.37000,-6.97000,-0.24000
01AMO-85,2024-10-01,3,474.59000,451.37000,23.18000,0.04000
01ANL-85,2024-10-01,3,473.08000,451.37000,21.64000,0.07000
01ANM-115,2024-10-01,3,464.35000,451.37000,13.00000,-0.02000
01ANS-85,2024-10-01,3,470.23000,451.37000,18.80000,0.06000
01ANU-115,2024-10-01,3,480.51000,451.37000,29.16000,-0.02000
01ANU-69,2024-10-01,3,480.51000,451.37000,29.16000,-0.02000
01ARA-85,2024-10-01,3,468.10000,451.37000,16.66000,0.07000
01ATE-230,2024-10-01,3,471.37000,451.37000,19.96000,0.04000
01ATE-85,2024-10-01,3,471.88000,451.37000,20.48000,0.04000
01ATG-69,2024-10-01,3,445.19000,451.37000,-5.94000,-0.24000
01ATI-230,2024-10-01,3,467.85000,451.37000,16.43000,0.05000
01ATK-230,2024-10-01,3,467.40000,451.37000,15.97000,0.07000
01ATM-115,2024-10-01,3,477.71000,451.37000,26.35000,-0.02000
01ATS-115,2024-10-01,3,443.11000,451.37000,-8.02000,-0.24000
01ATU-115,2024-10-01,3,469.58000,451.37000,18.20000,0.01000
02JLD-115,2024-10-01,3,465.73000,451.37000,14.21000,0.15000
02JRN-115,2024-10-01,3,466.08000,451.37000,14.76000,-0.05000
02JTL-115,2024-10-01,3,501.70000,451.37000,50.24000,0.08000
02JUC-115,2024-10-01,3,491.94000,451.37000,40.48000,0.09000
02JUD-115,2024-10-01,3,489.17000,451.37000,37.71000,0.09000
02JUD-230,2024-10-01,3,489.15000,451.37000,37.69000,0.09000
02JUY-115,2024-10-01,3,502.15000,451.37000,50.69000,0.09000
02KIA-115,2024-10-01,3,468.41000,451.37000,16.94000,0.10000
02KIC-115,2024-10-01,3,468.60000,451.37000,17.12000,0.10000
02KIM-115,2024-10-01,3,479.34000,451.37000,27.88000,0.09000
05CAS-115,2024-10-01,3,170.32000,451.37000,-71.17000,-209.88000
05CAT-115,2024-10-01,3,234.41000,451.37000,-3.82000,-213.15000
05CCD-115,2024-10-01,3,170.21000,451.37000,-70.98000,-210.18000
05CCU-115,2024-10-01,3,171.25000,451.37000,-70.18000,-209.95000
05CDM-115,2024-10-01,3,419.23000,451.37000,-31.07000,-1.07000
05CEB-115,2024-10-01,3,226.18000,451.37000,-12.08000,-213.11000
05CEJ-115,2024-10-01,3,123.09000,451.37000,-122.37000,-205.91000
05CEM-115,2024-10-01,3,430.44000,451.37000,-23.31000,2.38000
05CFN-115,2024-10-01,3,426.74000,451.37000,-27.17000,2.54000
05CGD-115,2024-10-01,3,184.57000,451.37000,-53.69000,-213.11000
05CGR-115,2024-10-01,3,161.94000,451.37000,-88.82000,-200.62000
05CGR-115,2024-10-01,4,143.35000,443.89000,-86.97000,-213.56000
05CGD-115,2024-10-01,4,169.95000,443.89000,-52.51000,-221.42000
05CFN-115,2024-10-01,4,418.83000,443.89000,-26.65000,1.60000
05CEM-115,2024-10-01,4,422.53000,443.89000,-22.85000,1.50000
05CEJ-115,2024-10-01,4,108.56000,443.89000,-118.43000,-216.89000
05CEB-115,2024-10-01,4,209.99000,443.89000,-12.47000,-221.42000
05CDM-115,2024-10-01,4,411.96000,443.89000,-31.25000,-0.67000
05CCU-115,2024-10-01,4,155.94000,443.89000,-68.52000,-219.43000
05CCD-115,2024-10-01,4,155.03000,443.89000,-69.28000,-219.58000
05CAT-115,2024-10-01,4,217.19000,443.89000,-5.25000,-221.44000
05CAS-115,2024-10-01,4,155.03000,443.89000,-69.47000,-219.39000
02KIM-115,2024-10-01,4,470.54000,443.89000,26.60000,0.06000
02KIC-115,2024-10-01,4,460.96000,443.89000,17.01000,0.06000
02KIA-115,2024-10-01,4,460.78000,443.89000,16.82000,0.06000
02JUY-115,2024-10-01,4,491.83000,443.89000,47.88000,0.06000
02JUD-230,2024-10-01,4,478.90000,443.89000,34.95000,0.06000
02JUD-115,2024-10-01,4,478.85000,443.89000,34.91000,0.06000
02JUC-115,2024-10-01,4,481.48000,443.89000,37.54000,0.06000
02JTL-115,2024-10-01,4,491.84000,443.89000,47.90000,0.05000
02JRN-115,2024-10-01,4,458.37000,443.89000,14.51000,-0.03000
02JLD-115,2024-10-01,4,458.27000,443.89000,14.29000,0.09000
01ATU-115,2024-10-01,4,461.93000,443.89000,18.04000,0.00000
01ATS-115,2024-10-01,4,437.57000,443.89000,-6.17000,-0.15000
01ATM-115,2024-10-01,4,469.88000,443.89000,26.01000,-0.01000
01ATK-230,2024-10-01,4,459.59000,443.89000,15.66000,0.04000
01ATI-230,2024-10-01,4,460.10000,443.89000,16.18000,0.03000
01ATG-69,2024-10-01,4,440.25000,443.89000,-3.48000,-0.15000
01ATE-85,2024-10-01,4,464.04000,443.89000,20.13000,0.02000
01ATE-230,2024-10-01,4,463.52000,443.89000,19.61000,0.02000
01ARA-85,2024-10-01,4,460.24000,443.89000,16.31000,0.04000
01ANU-69,2024-10-01,4,472.68000,443.89000,28.80000,-0.01000
01ANU-115,2024-10-01,4,472.68000,443.89000,28.80000,-0.01000
01ANS-85,2024-10-01,4,462.31000,443.89000,18.38000,0.04000
01ANM-115,2024-10-01,4,456.91000,443.89000,13.03000,-0.01000
01ANL-85,2024-10-01,4,465.25000,443.89000,21.32000,0.05000
01AMO-85,2024-10-01,4,466.67000,443.89000,22.76000,0.02000
01AMM-230,2024-10-01,4,438.80000,443.89000,-4.94000,-0.15000
01ALR-85,2024-10-01,4,461.65000,443.89000,17.73000,0.03000
01ALR-85,2024-10-01,5,452.82000,436.18000,16.63000,0.02000
01AMM-230,2024-10-01,5,429.06000,436.18000,-7.05000,-0.07000
01AMO-85,2024-10-01,5,458.05000,436.18000,21.86000,0.01000
01ANL-85,2024-10-01,5,457.06000,436.18000,20.87000,0.02000
01ANM-115,2024-10-01,5,448.25000,436.18000,12.08000,-0.01000
01ANS-85,2024-10-01,5,453.76000,436.18000,17.57000,0.02000
01ANU-115,2024-10-01,5,462.94000,436.18000,26.77000,-0.01000
01ANU-69,2024-10-01,5,462.94000,436.18000,26.77000,-0.01000
01ARA-85,2024-10-01,5,451.78000,436.18000,15.59000,0.02000
01ATE-230,2024-10-01,5,454.90000,436.18000,18.72000,0.01000
01ATE-85,2024-10-01,5,455.43000,436.18000,19.24000,0.01000
01ATG-69,2024-10-01,5,429.99000,436.18000,-6.12000,-0.07000
01ATI-230,2024-10-01,5,451.57000,436.18000,15.38000,0.01000
01ATK-230,2024-10-01,5,451.14000,436.18000,14.95000,0.02000
01ATM-115,2024-10-01,5,460.17000,436.18000,24.00000,-0.01000
01ATS-115,2024-10-01,5,428.01000,436.18000,-8.10000,-0.07000
01ATU-115,2024-10-01,5,453.27000,436.18000,17.10000,0.00000
02JLD-115,2024-10-01,5,450.97000,436.18000,14.76000,0.04000
02JRN-115,2024-10-01,5,448.44000,436.18000,12.28000,-0.01000
02JTL-115,2024-10-01,5,480.68000,436.18000,44.48000,0.02000
02JUC-115,2024-10-01,5,468.13000,436.18000,31.93000,0.02000
02JUD-115,2024-10-01,5,465.65000,436.18000,29.45000,0.02000
02JUD-230,2024-10-01,5,465.80000,436.18000,29.60000,0.02000
02JUY-115,2024-10-01,5,480.15000,436.18000,43.95000,0.03000
02KIA-115,2024-10-01,5,452.80000,436.18000,16.60000,0.03000
02KIC-115,2024-10-01,5,452.98000,436.18000,16.78000,0.03000
02KIM-115,2024-10-01,5,460.39000,436.18000,24.19000,0.03000
05CAS-115,2024-10-01,5,155.70000,436.18000,-70.38000,-210.10000
05CAT-115,2024-10-01,5,218.74000,436.18000,-6.42000,-211.01000
05CCD-115,2024-10-01,5,155.83000,436.18000,-70.17000,-210.18000
05CCU-115,2024-10-01,5,156.60000,436.18000,-69.46000,-210.11000
05CDM-115,2024-10-01,5,404.36000,436.18000,-31.52000,-0.30000
05CEB-115,2024-10-01,5,210.13000,436.18000,-15.04000,-211.00000
05CEJ-115,2024-10-01,5,108.33000,436.18000,-118.86000,-208.99000
05CEM-115,2024-10-01,5,412.94000,436.18000,-23.90000,0.66000
05CFN-115,2024-10-01,5,409.18000,436.18000,-27.70000,0.71000
05CGD-115,2024-10-01,5,171.54000,436.18000,-53.64000,-211.00000
05CGR-115,2024-10-01,5,142.67000,436.18000,-86.00000,-207.51000
05CGR-115,2024-10-01,6,142.23000,434.41000,-86.61000,-205.57000
05CGD-115,2024-10-01,6,169.22000,434.41000,-53.93000,-211.26000
05CFN-115,2024-10-01,6,399.88000,434.41000,-27.47000,-7.06000
05CEM-115,2024-10-01,6,403.62000,434.41000,-23.68000,-7.12000
05CEJ-115,2024-10-01,6,108.36000,434.41000,-117.90000,-208.15000
05CEB-115,2024-10-01,6,207.71000,434.41000,-15.44000,-211.26000
05CDM-115,2024-10-01,6,398.22000,434.41000,-29.97000,-6.22000
05CCU-115,2024-10-01,6,154.45000,434.41000,-69.89000,-210.07000
05CCD-115,2024-10-01,6,153.69000,434.41000,-70.55000,-210.18000
05CAT-115,2024-10-01,6,214.93000,434.41000,-8.21000,-211.27000
05CAS-115,2024-10-01,6,153.58000,434.41000,-70.79000,-210.04000
02KIM-115,2024-10-01,6,457.75000,434.41000,22.63000,0.71000
02KIC-115,2024-10-01,6,451.21000,434.41000,16.06000,0.74000
02KIA-115,2024-10-01,6,451.03000,434.41000,15.88000,0.74000
02JUY-115,2024-10-01,6,476.30000,434.41000,41.21000,0.68000
02JUD-230,2024-10-01,6,460.73000,434.41000,25.64000,0.68000
02JUD-115,2024-10-01,6,460.47000,434.41000,25.38000,0.68000
02JUC-115,2024-10-01,6,462.90000,434.41000,27.81000,0.68000
02JTL-115,2024-10-01,6,478.59000,434.41000,43.52000,0.67000
02JRN-115,2024-10-01,6,447.20000,434.41000,12.64000,0.15000
02JLD-115,2024-10-01,6,449.62000,434.41000,14.22000,0.98000
